Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
     7  GC.gg6   0.25  08-Jun-2007     22-Sep-2007   U       107         0.16
     7  GC.gg6   0.25  23-Sep-2007     19-Jun-2008   O       271         3.35
     7  GC.gg6   0.25  20-Jun-2008     03-Nov-2008   U       137         0.17
     7  GC.gg6   0.25  04-Nov-2008     20-Jun-2009   O       229         2.76
     7  GC.gg6   0.25  21-Jun-2009     13-Oct-2009   U       115         0.16
     7  GC.gg6   0.25  14-Oct-2009     22-Jul-2010   O       282         4.46
     7  GC.gg6   0.25  23-Jul-2010     21-Oct-2010   U        91         0.18
     7  GC.gg6   0.25  22-Oct-2010     29-Jul-2011   O       281         3.94
     7  GC.gg6   0.25  30-Jul-2011     04-Oct-2011   U        67         0.18
     7  GC.gg6   0.25  05-Oct-2011     16-Jun-2012   O       256         1.85
     7  GC.gg6   0.25  17-Jun-2012     23-Oct-2012   U       129         0.16
     7  GC.gg6   0.25  24-Oct-2012     04-Nov-2012   O        12         0.33
     7  GC.gg6   0.25  05-Nov-2012     08-Nov-2012   U         4         0.24
     7  GC.gg6   0.25  09-Nov-2012     14-May-2013   O       187         2.53
     7  GC.gg6   0.25  15-May-2013     29-Oct-2013   U       168         0.13
     7  GC.gg6   0.25  30-Oct-2013     15-Nov-2013   O        17         0.35
     7  GC.gg6   0.25  16-Nov-2013     20-Nov-2013   U         5         0.23
     7  GC.gg6   0.25  21-Nov-2013     03-Jan-2014   O        44         0.48
     7  GC.gg6   0.25  04-Jan-2014     03-Feb-2014   U        31         0.18
     7  GC.gg6   0.25  04-Feb-2014     01-Jun-2014   O       118         2.19
     7  GC.gg6   0.25  02-Jun-2014     03-Nov-2014   U       155         0.11
     7  GC.gg6   0.25  04-Nov-2014     07-Jun-2015   O       216         2.38
     7  GC.gg6   0.25  08-Jun-2015     01-Oct-2015   U       116         0.11
     2  H1.gg1   0.25  02-Oct-1991     18-Aug-1997   O      2148       222.67
     2  H1.gg1   0.25  19-Aug-1997     20-Aug-1997   U         2         0.21
     2  H1.gg1   0.25  21-Aug-1997     23-Aug-1997   O         3         0.37
     2  H1.gg1   0.25  24-Aug-1997     20-Sep-1997   U        28         0.12
     2  H1.gg1   0.25  21-Sep-1997     03-Sep-2002   O      1809       181.37
     2  H1.gg1   0.25  04-Sep-2002     11-Sep-2002   U         8         0.21
     2  H1.gg1   0.25  12-Sep-2002     24-Sep-2003   O       378       186.79
     2  H1.gg1   0.25  26-Sep-2003     30-Aug-2004   O       340       140.64
     2  H1.gg1   0.25  31-Aug-2004     03-Sep-2004   U         4         0.24
