    ppt1     ppt2         dist
     355      364       300.09
     355      360       321.16
     355      369       341.80
     356      360       230.21
     356      369       380.62
     356      367       439.09
     356      364       447.58
     360      369       180.08
     360      367       208.89
     360      364       306.62
     360      368       322.18
     363      364       129.54
     363      368       145.24
     363      369       240.83
     363      365       253.30
     364      369       158.94
     364      368       160.08
     364      365       254.95
     364      367       295.98
     365      368       383.31
     365      369       413.09
     365      367       550.13
     367      369       146.25
     367      368       202.11
     368      369       144.14
