FID_hru_pa,ORIG_FID,HRU_ID,HRUTYPE_IN,HRU_ROW,HRU_COL,HRU_X,HRU_Y,X,Y,Unique_ID,Lay1_Zn,Lay2_Zn,Lay3_Zn
80798,80286,53085,1,131,305,625950,4034950,625956.00,4034930.00,131,0,2,10
76326,75822,57553,1,142,307,626150,4033850,626141.00,4033860.00,132,0,2,10
79526,79469,53892,1,133,300,625450,4034750,625456.00,4034790.00,133,0,2,10
78461,78259,55118,1,136,308,626250,4034450,626214.00,4034430.00,134,0,2,10
115782,115394,17549,1,44,91,604550,4043650,604510.00,4043670.00,653,1,3,10
78096,77844,55515,1,137,299,625350,4034350,625309.00,4034350.00,136,0,2,10
76683,76224,57143,1,141,303,625750,4033950,625724.00,4034000.00,137,0,2,10
78794,78645,54692,1,135,288,624250,4034550,624235.00,4034580.00,138,0,2,10
82966,82707,50634,1,125,290,624450,4035550,624419.00,4035520.00,139,0,2,10
66860,66444,66851,1,165,267,622150,4031550,622196.00,4031580.00,140,0,2,10
61217,60757,72532,1,179,264,621850,4030150,621836.00,4030140.00,141,0,2,10
110394,114967,17934,1,45,70,602450,4043550,602426.00,4043510.00,101,1,3,10
71417,70905,62380,1,154,262,621650,4032650,621675.00,4032660.00,143,0,4,10
58521,58306,74953,1,185,249,620350,4029550,620389.00,4029540.00,144,0,8,10
110395,114971,17938,1,45,74,602850,4043550,602842.00,4043500.00,598,1,3,10
65793,65250,68093,1,168,291,624550,4031250,624547.00,4031270.00,146,0,2,10
67939,67682,65653,1,162,287,624150,4031850,624161.00,4031830.00,147,0,6,10
114983,114973,17940,1,45,76,603050,4043550,603038.00,4043510.00,599,1,3,10
65783,65237,68080,1,168,278,623250,4031250,623253.00,4031210.00,149,0,2,10
67231,66864,66459,1,164,281,623550,4031650,623569.00,4031650.00,150,0,2,10
68650,68492,64839,1,160,285,623950,4032050,623923.00,4032040.00,151,0,6,10
114983,114973,17940,1,45,76,603050,4043550,603041.00,4043510.00,632,1,3,10
110359,114537,18316,1,46,46,600050,4043450,600033.00,4043450.00,551,1,4,10
69361,69293,64016,1,158,274,622850,4032250,622820.00,4032240.00,154,0,4,10
110366,114550,18329,1,46,59,601350,4043450,601340.00,4043430.00,584,1,2,10
71421,70910,62385,1,154,267,622150,4032650,622186.00,4032610.00,156,0,4,10
73878,73743,59534,1,147,258,621250,4033350,621212.00,4033350.00,157,0,4,10
67566,67243,66026,1,163,254,620850,4031750,620802.00,4031730.00,158,0,2,10
114605,114568,18347,1,46,77,603150,4043450,603198.00,4043470.00,597,1,3,10
114611,114574,18353,1,46,83,603750,4043450,603771.00,4043490.00,613,1,3,10
73160,72939,60354,1,149,266,622050,4033150,622100.00,4033140.00,161,0,4,10
72469,72128,61167,1,151,267,622150,4032950,622191.00,4032940.00,162,0,4,10
74979,74968,58323,1,144,265,621950,4033650,621984.00,4033640.00,163,0,6,10
114616,114580,18359,1,46,89,604350,4043450,604373.00,4043460.00,628,1,3,10
76287,75777,57508,1,142,262,621650,4033850,621684.00,4033810.00,165,0,6,10
110328,114130,18721,1,47,45,599950,4043350,599902.00,4043340.00,552,1,4,10
110329,114134,18725,1,47,49,600350,4043350,600346.00,4043310.00,617,1,4,10
114234,114163,18754,1,47,78,603250,4043350,603213.00,4043310.00,612,1,3,10
78056,77796,55467,1,137,251,620550,4034350,620553.00,4034380.00,169,0,6,10
114238,114167,18758,1,47,82,603650,4043350,603648.00,4043380.00,611,1,3,10
78763,78604,54651,1,135,247,620150,4034550,620152.00,4034590.00,171,0,6,10
74602,74550,58717,1,145,253,620750,4033550,620736.00,4033570.00,172,0,4,10
80751,80228,53027,1,131,247,620150,4034950,620168.00,4035000.00,173,0,6,10
110339,114180,18771,1,47,95,604950,4043350,604954.00,4043370.00,656,1,3,10
78084,77828,55499,1,137,283,623750,4034350,623773.00,4034360.00,175,0,6,10
77012,76610,56717,1,140,283,623750,4034050,623749.00,4034050.00,176,0,6,10
77353,77004,56299,1,139,271,622550,4034150,622539.00,4034170.00,177,0,6,10
81499,81069,52244,1,129,276,623050,4035150,623051.00,4035200.00,178,0,6,10
113863,113760,19163,1,48,81,603550,4043250,603532.00,4043220.00,644,1,3,10
66160,65660,67691,1,167,295,624950,4031350,624941.00,4031370.00,180,0,6,10
71786,71342,62005,1,153,293,624750,4032750,624759.00,4032760.00,181,0,6,10
113867,113764,19167,1,48,85,603950,4043250,603903.00,4043300.00,650,1,3,10
67223,66855,66450,1,164,272,622650,4031650,622656.00,4031610.00,183,0,2,10
72478,72139,61178,1,151,278,623250,4032950,623295.00,4032990.00,184,0,6,10
72128,71740,61591,1,152,285,623950,4032850,623969.00,4032890.00,185,0,6,10
71093,70521,62808,1,155,284,623850,4032550,623878.00,4032600.00,186,0,6,10
110305,113766,19169,1,48,87,604150,4043250,604154.00,4043240.00,666,1,3,10
70731,70112,63211,1,156,281,623550,4032450,623569.00,4032410.00,188,0,6,10
113872,113773,19176,1,48,94,604850,4043250,604823.00,4043230.00,651,1,3,10
110263,113321,19536,1,49,48,600250,4043150,600243.00,4043170.00,550,1,4,10
113467,113325,19540,1,49,52,600650,4043150,600643.00,4043130.00,627,1,4,10
76659,76198,57117,1,141,277,623150,4033950,623162.00,4033930.00,192,0,6,10
110268,113343,19558,1,49,70,602450,4043150,602408.00,4043190.00,610,1,3,10
64143,64037,69316,1,171,296,625050,4030950,625081.00,4030970.00,194,0,2,10
73156,72934,60349,1,149,261,621550,4033150,621540.00,4033180.00,195,0,4,10
72463,72120,61159,1,151,259,621350,4032950,621374.00,4032940.00,196,0,4,10
73148,72925,60340,1,149,252,620650,4033150,620700.00,4033130.00,197,0,4,10
113484,113349,19564,1,49,76,603050,4043150,603038.00,4043140.00,592,1,3,10
73142,72917,60332,1,149,244,619850,4033150,619858.00,4033200.00,199,0,4,10
113484,113349,19564,1,49,76,603050,4043150,603041.00,4043140.00,593,1,3,10
113487,113352,19567,1,49,79,603350,4043150,603358.00,4043140.00,594,1,3,10
110274,113362,19577,1,49,89,604350,4043150,604374.00,4043180.00,665,1,3,10
73168,72949,60364,1,149,276,623050,4033150,623070.00,4033130.00,203,0,6,10
73168,72949,60364,1,149,276,623050,4033150,623061.00,4033130.00,204,0,6,10
110274,113362,19577,1,49,89,604350,4043150,604306.00,4043180.00,667,1,3,10
113496,113365,19580,1,49,92,604650,4043150,604640.00,4043160.00,652,1,3,10
113543,113428,19643,1,49,155,610950,4043150,610974.00,4043120.00,417,1,3,10
110226,112886,19913,1,50,19,597350,4043050,597329.00,4043020.00,510,1,4,10
113114,112948,19975,1,50,81,603550,4043050,603581.00,4043030.00,647,1,3,10
113115,112949,19976,1,50,82,603650,4043050,603700.00,4043050.00,646,1,3,10
74250,74163,59142,1,146,272,622650,4033450,622700.00,4033470.00,211,0,6,10
110198,112513,20352,1,51,52,600650,4042950,600665.00,4042950.00,637,1,4,10
74985,74975,58330,1,144,272,622650,4033650,622656.00,4033660.00,213,0,6,10
110202,112534,20373,1,51,73,602750,4042950,602778.00,4042970.00,591,1,3,10
110206,112540,20379,1,51,79,603350,4042950,603349.00,4042940.00,595,1,3,10
112742,112542,20381,1,51,81,603550,4042950,603548.00,4042950.00,645,1,3,10
112744,112546,20385,1,51,85,603950,4042950,603914.00,4042990.00,648,1,3,10
110211,112552,20391,1,51,91,604550,4042950,604502.00,4042960.00,668,1,3,10
112750,112555,20394,1,51,94,604850,4042950,604836.00,4042930.00,661,1,3,10
74248,74161,59140,1,146,270,622450,4033450,622460.00,4033430.00,220,0,6,10
76650,76188,57107,1,141,267,622150,4033950,622137.00,4033950.00,221,0,6,10
110212,112557,20396,1,51,96,605050,4042950,605019.00,4042940.00,658,1,3,10
76991,76581,56688,1,140,254,620850,4034050,620820.00,4034090.00,223,0,6,10
110167,112135,20786,1,52,80,603450,4042850,603472.00,4042890.00,605,1,3,10
110167,112135,20786,1,52,80,603450,4042850,603486.00,4042800.00,607,1,3,10
112380,112146,20797,1,52,91,604550,4042850,604504.00,4042890.00,663,1,3,10
110175,112153,20804,1,52,98,605250,4042850,605241.00,4042880.00,657,1,3,10
74230,74137,59116,1,146,246,620050,4033450,620059.00,4033430.00,228,0,4,10
110183,112170,20821,1,52,115,606950,4042850,606977.00,4042820.00,455,1,3,10
74593,74539,58706,1,145,242,619650,4033550,619674.00,4033530.00,230,0,4,10
73134,72906,60321,1,149,233,618750,4033150,618736.00,4033170.00,231,0,2,10
77966,77696,55367,1,137,151,610550,4034350,610546.00,4034370.00,232,0,5,10
112401,112178,20829,1,52,123,607750,4042850,607798.00,4042810.00,495,1,3,10
78356,78127,54986,1,136,176,613050,4034450,613061.00,4034490.00,234,0,2,10
110185,112183,20834,1,52,128,608250,4042850,608293.00,4042840.00,486,1,3,10
110114,111322,21597,1,54,79,603350,4042650,603343.00,4042610.00,504,1,5,10
110115,111324,21599,1,54,81,603550,4042650,603534.00,4042690.00,506,1,5,10
33967,33901,99268,1,245,204,615850,4023550,615811.00,4023510.00,238,0,2,10
73393,73195,59798,1,148,116,607050,4033250,607049.00,4033240.00,239,0,2,10
74504,74438,58605,1,145,141,609550,4033550,609586.00,4033580.00,240,0,5,10
111616,111325,21600,1,54,82,603650,4042650,603647.00,4042650.00,502,1,5,10
110118,111336,21611,1,54,93,604750,4042650,604763.00,4042640.00,493,1,3,10
110124,111365,21640,1,54,122,607650,4042650,607649.00,4042610.00,496,1,3,10
89500,89423,43546,1,108,104,605850,4037250,605863.00,4037300.00,244,0,5,10
110078,110897,21984,1,55,60,601450,4042550,601465.00,4042540.00,500,1,4,10
110885,110540,22439,1,56,109,606350,4042450,606379.00,4042440.00,450,1,3,10
110891,110549,22448,1,56,118,607250,4042450,607272.00,4042480.00,466,1,3,10
101939,101634,31397,1,78,135,608950,4040250,608929.00,4040250.00,248,0,2,10
94786,94728,38295,1,95,131,608550,4038550,608577.00,4038590.00,249,0,5,10
93757,93545,39548,1,98,166,612050,4038250,612062.00,4038210.00,250,0,2,10
110894,110554,22453,1,56,123,607750,4042450,607771.00,4042460.00,458,1,3,10
110067,110557,22456,1,56,126,608050,4042450,608062.00,4042430.00,456,1,3,10
110900,110561,22460,1,56,130,608450,4042450,608452.00,4042440.00,459,1,3,10
110071,110587,22486,1,56,156,611050,4042450,611006.00,4042490.00,424,1,2,10
109754,109745,23268,1,58,126,608050,4042250,608039.00,4042270.00,463,1,3,10
