Basin_Subbasin ID   ,   Type  ,       Gauge             ,  Statistic  ,     Daily    ,    Monthly   ,   Yearly    
           5 , sub_cfs , RoblesdelRio(USGS) , MSE TrLam    , 8.583942 , 7.405976 , 2.610236
           5 , sub_cfs , RoblesdelRio(USGS) , PBias        , 37.569210 , 36.935438 , 37.305565
           5 , sub_cfs , RoblesdelRio(USGS) , PBias Log10  ,    NaN , 42.887230 , 15.698148
           5 , sub_cfs , RoblesdelRio(USGS) , PBias TrLam  , 26.095437 , 24.919031 , 13.548877
           5 , sub_cfs , RoblesdelRio(USGS) , NSE          , 0.564897 , 0.771207 , 0.820707
           5 , sub_cfs , RoblesdelRio(USGS) , NSE Log10    ,    NaN , 0.628049 , 0.763344
           5 , sub_cfs , RoblesdelRio(USGS) , NSE TrLam    , 0.743006 , 0.777573 , 0.822466
           5 , sub_cfs , RoblesdelRio(USGS) , MSE FDC      , 4216.717461 , 1662.811469 , 1445.717054
           5 , sub_cfs , RoblesdelRio(USGS) , MSE FDCLog10 ,    NaN , 0.175505 , 0.052316
           5 , sub_cfs , RoblesdelRio(USGS) , MSE FDCTrLam , 0.304012 , 0.306435 , 0.197069
           5 , sub_cfs , RoblesdelRio(USGS) , QPCorr       , 0.188615 , 0.121317 , 0.078198
           5 , sub_cfs , RoblesdelRio(USGS) , MaxAbs PBias , 111.769524 , 110.107036 , 84.162160
           5 , sub_cfs , RoblesdelRio(USGS) , MaxAbsPBiasL , 70.809086 , 69.225122 , 31.105411
           5 , sub_cfs , RoblesdelRio(USGS) , Pct Mean Dif , 37.569210 , 36.935438 , 37.305565
           5 , sub_cfs , RoblesdelRio(USGS) , Pct Var Diff , 24.786504 , -17.502521 , -43.528402
           5 , sub_cfs , RoblesdelRio(USGS) , Pct L10MeanD ,    NaN , 42.887230 , 15.698148
           5 , sub_cfs , RoblesdelRio(USGS) , Pct L10VarDf ,    NaN , -74.291258 , -64.379551
           5 , sub_cfs , RoblesdelRio(USGS) , Pct LTrMeanD , 26.095437 , 24.919031 , 13.548877
           5 , sub_cfs , RoblesdelRio(USGS) , Pct LTrVarDf , -45.881257 , -49.438136 , -53.734232
           6 , sub_cfs , NearCarmel(USGS) , MSE          , 58048.097787 , 18002.948977 , 2376.498241
           6 , sub_cfs , NearCarmel(USGS) , MSE Log10    ,    NaN ,    NaN ,    NaN
           6 , sub_cfs , NearCarmel(USGS) , MSE TrLam    , 25.944295 , 23.105146 , 7.942483
           6 , sub_cfs , NearCarmel(USGS) , PBias        , 51.295658 , 50.571213 , 51.148825
           6 , sub_cfs , NearCarmel(USGS) , PBias Log10  ,    NaN ,    NaN ,    NaN
