"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   4.47786331177E+01   3.38940010071E+01  308         
   6.57923049927E+01   6.50509033203E+01  310         
   2.07342491150E+01   1.25329999924E+01  312         
   1.45844894409E+02   1.23108001709E+02  313         
   2.75351684570E+02   1.87367004395E+02  314         
   1.50294128418E+02   1.49074996948E+02  315         
   4.16317199707E+02   4.56679992676E+02  317         
   9.55259399414E+02   9.50479980469E+02  318         
   1.19824853516E+03   1.24395996094E+03  319         
   1.13845190430E+03   1.21196997070E+03  320         
   1.19663317871E+03   1.28851000977E+03  321         
   5.97606872559E+02   7.19460021973E+02  322         
   2.52414245605E+02   2.54218994141E+02  323         
   2.51890243530E+02   2.55621002197E+02  324         
   4.23914398193E+02   5.84729980469E+02  325         
   3.68365051270E+02   5.08114990234E+02  326         
   8.01636596680E+02   8.01867980957E+02  327         
   8.77276977539E+02   9.94317993164E+02  328         
   1.08623217773E+03   1.10695996094E+03  329         
   1.09633630371E+03   1.14180004883E+03  330         
   1.68610946655E+02   1.93923004150E+02  331         
   3.30868255615E+02   3.29562011719E+02  332         
   4.07124694824E+02   3.99709991455E+02  333         
   4.04580017090E+02   3.82410003662E+02  334         
   4.55164123535E+02   4.69467987061E+02  335         
   4.31234069824E+02   4.24088989258E+02  336         
   4.70134063721E+02   5.11372009277E+02  337         
   3.00875427246E+02   2.99787994385E+02  338         
   3.96860504150E+02   4.45480987549E+02  339         
   1.49226943970E+02   2.03669998169E+02  340         
   1.43875366211E+02   1.28819000244E+02  341         
   7.26870422363E+02   7.07973999023E+02  342         
   5.89621459961E+02   7.16552978516E+02  343         
   5.80814147949E+02   5.77208007812E+02  344         
   3.78951354980E+02   4.45519989014E+02  345         
   5.16141174316E+02   5.97663024902E+02  346         
   5.46604309082E+02   6.96340026855E+02  347         
   5.45979553223E+02   6.22002014160E+02  348         
   6.81253234863E+02   7.55023010254E+02  349         
   9.35413589478E+01   1.55268005371E+02  351         
   7.69758911133E+01   5.93862991333E+01  352         
   1.96938186646E+02   1.99699005127E+02  353         
   1.68356491089E+02   1.51643997192E+02  357         
   2.46073303223E+02   1.98242004395E+02  358         
   2.40171798706E+02   2.61842987061E+02  359         
   2.01746688843E+02   2.19914993286E+02  360         
   4.89290985107E+02   4.66713989258E+02  361         
   4.77494903564E+02   5.77101989746E+02  362         
   1.65483428955E+02   2.52287002563E+02  363         
   4.31507324219E+02   4.41537994385E+02  365         
   4.17481048584E+02   4.17605987549E+02  366         
   4.75205291748E+02   4.62760986328E+02  367         
   4.39628509521E+02   4.40066009521E+02  368         
   4.48316955566E+02   5.35216003418E+02  369         
   3.35021423340E+02   4.01460998535E+02  370         
   3.66645996094E+02   3.84921997070E+02  372         
   2.97722110748E+01   3.40960006714E+01  373         
   2.99563808441E+01   2.50510005951E+01  374         
   9.75731086731E+00   1.39892997742E+01  375         
   3.38663530350E+00   3.59589004517E+00  376         
   2.98672127724E+00   3.67717003822E+00  377         
   9.22417449951E+00   1.24841003418E+01  380         
   4.45268516541E+01   4.69598999023E+01  381         
   3.34995040894E+01   4.21777000427E+01  382         
   3.03964519501E+01   3.16196002960E+01  383         
   3.87544059753E+01   4.29874000549E+01  384         
   2.24270582199E+00   1.62378001213E+00  385         
   1.84148144722E+00   1.61957001686E+00  386         
   2.24228096008E+00   1.62731003761E+00  387         
   4.47423591614E+01   4.77617988586E+01  388         
   2.35007882118E+00   5.26146984100E+00  389         
   2.76823539734E+01   2.98131999969E+01  392         
   8.62357101440E+01   8.52440032959E+01  393         
   2.48600215912E+01   2.26243991852E+01  394         
   1.78320598602E+01   1.73209991455E+01  395         
   1.52161331177E+01   1.69326000214E+01  396         
   5.60786819458E+01   6.00540008545E+01  397         
   6.17170333862E+01   6.53223037720E+01  398         
   7.47999668121E+00   9.81159019470E+00  399         
   4.35413894653E+01   4.21395988464E+01  400         
   2.00537662506E+01   2.63971996307E+01  401         
   8.00334930420E+01   8.71131973267E+01  402         
   1.61478290558E+01   1.47454996109E+01  403         
   1.81035175323E+01   1.71340999603E+01  404         
   1.67890300751E+01   1.81912994385E+01  405         
   3.68149375916E+01   4.01099014282E+01  406         
   6.56716995239E+01   6.93395996094E+01  407         
   4.20108032227E+02   4.31627990723E+02  408         
   3.85212768555E+02   3.47701995850E+02  409         
   3.17045867920E+02   3.17294006348E+02  410         
   2.72596435547E+02   2.72299011230E+02  411         
   2.78335510254E+02   2.76039001465E+02  412         
   2.79930175781E+02   2.75640991211E+02  413         
   2.83038696289E+02   2.85191986084E+02  414         
   2.83227905273E+02   2.79240997314E+02  415         
   2.82683898926E+02   2.79044006348E+02  416         
   2.70610931396E+02   2.74946014404E+02  417         
   2.85550994873E+02   2.81632995605E+02  418         
   2.86058410645E+02   2.83773010254E+02  419         
   2.89631378174E+02   2.88153991699E+02  420         
   2.88824005127E+02   2.85997985840E+02  421         
   2.95813110352E+02   2.92700012207E+02  422         
   2.91873626709E+02   2.90621002197E+02  423         
