Gage No., Filename, Time, Stage(ft), Flow(cfs), Depth(ft), Width(ft), Midpt-Flow(cfs), Precip(ft/dy), ET(ft/dy), SFR-Runoff(cfs), UZF-Runoff(cfs), Conductance(ft/dy), HeadDiff(ft), HydGrad(ft)
2, H1.gg1, 19-Oct-1991,52.012695,0.000066,0.004818,0.481812,0.000033,0,0,0.001279,0,95.962357,0.332903,3.329034
2, H1.gg1, 20-Oct-1991,52.012604,0,0,0.47267,0,0,0,0.001168,0,94.141457,0.332812,3.328119
2, H1.gg1, 21-Oct-1991,52.012074,0.000016,0.004199,0.419872,0.000008,0,0,0.001071,0,83.625648,0.332284,3.32284
2, H1.gg1, 22-Oct-1991,52.01157,0.000059,0.003691,0.369066,0.00003,0,0,0.000985,0,73.506783,0.331776,3.317759
2, H1.gg1, 23-Oct-1991,52.011501,0,0,0.362862,0,0,0,0.000909,0,72.271042,0.331714,3.317139
2, H1.gg1, 24-Oct-1991,52.011028,0.000053,0.00315,0.315011,0.000026,0,0,0.000842,0,62.740597,0.331235,3.312353
2, H1.gg1, 25-Oct-1991,52.010979,0.000006,0.003101,0.310135,0.000003,0,0,0.000782,0,61.769512,0.331187,3.311866
2, H1.gg1, 26-Oct-1991,52.015022,0,0,0.714552,0,0,0,0.001791,0,142.317001,0.335231,3.352308
2, H1.gg1, 27-Oct-1991,52.234169,0.323537,0.226292,29.60438,0.381885,0,0,0.007417,0,5896.292969,0.554378,5.543776
2, H1.gg1, 28-Oct-1991,52.884346,71.855446,0.87647,86.367523,72.028297,0,0,0.015307,0,17201.78711,0.55275,5.527496
2, H1.gg1, 29-Oct-1991,52.875416,70.17392,0.867539,86.291252,70.334534,0,0,0.004654,0,17186.5957,0.499367,4.993668
2, H1.gg1, 30-Oct-1991,52.87598,70.316559,0.868106,86.29612,70.453369,0,0,0.00657,0,17187.56445,0.429354,4.293541
2, H1.gg1, 31-Oct-1991,52.873596,69.862305,0.865721,86.275642,69.984222,0,0,0.004015,0,17183.48633,0.379883,3.798832
2, H1.gg1, 01-Nov-1991,52.871319,69.41716,0.863442,86.25602,69.494438,0,0,0.003449,0,17179.57813,0.242237,2.422371
2, H1.gg1, 02-Nov-1991,52.864716,63.995426,0.856842,86.198952,64.062225,0,0,0.002995,0,17168.21094,0.209548,2.095476
2, H1.gg1, 03-Nov-1991,52.763359,51.848881,0.755484,85.267914,51.912045,0,0,0.002617,0,16982.7793,0.199967,1.999669
2, H1.gg1, 04-Nov-1991,52.750713,49.805828,0.742838,85.143845,49.870708,0,0,0.002301,0,16958.06836,0.205094,2.050936
2, H1.gg1, 05-Nov-1991,52.719105,44.918743,0.71123,84.825096,44.982227,0,0,0.002037,0,16894.58203,0.201124,2.011243
2, H1.gg1, 06-Nov-1991,52.686134,39.421425,0.678255,84.478439,39.48629,0,0,0.001816,0,16825.53711,0.205891,2.058914
2, H1.gg1, 07-Nov-1991,52.495575,13.567879,0.487697,70.995934,13.649402,0,0,0.001624,0,14140.23438,0.306702,3.067018
2, H1.gg1, 08-Nov-1991,52.442677,7.838745,0.4348,62.292439,7.930716,0,0,0.001452,0,12406.76074,0.393554,3.935539
2, H1.gg1, 09-Nov-1991,52.4189,6.016986,0.411021,58.426735,6.106343,0,0,0.0013,0,11636.83008,0.407416,4.074161
2, H1.gg1, 10-Nov-1991,52.388363,4.13778,0.380487,53.50856,4.226644,0,0,0.001174,0,10657.2793,0.442111,4.421113
2, H1.gg1, 11-Nov-1991,52.36948,3.217605,0.361604,50.494118,3.314371,0,0,0.001067,0,10056.89453,0.509614,5.096139
2, H1.gg1, 12-Nov-1991,52.352318,2.591871,0.344444,47.773724,2.692869,0,0,0.000972,0,9515.074219,0.561798,5.617979
2, H1.gg1, 13-Nov-1991,52.34634,2.394167,0.338464,46.830021,2.498553,0,0,0.000886,0,9327.117188,0.592009,5.920085
2, H1.gg1, 14-Nov-1991,52.344601,2.339108,0.336722,46.55563,2.428337,0,0,0.000812,0,9272.466797,0.509186,5.091863
2, H1.gg1, 15-Nov-1991,52.345737,2.394209,0.337859,46.734596,2.474705,0,0,0.000748,0,9308.111328,0.457632,4.576325
2, H1.gg1, 16-Nov-1991,52.344418,2.342947,0.336541,46.526993,2.424155,0,0,0.000692,0,9266.763672,0.463564,4.635639
2, H1.gg1, 17-Nov-1991,52.34547,2.374318,0.337593,46.692692,2.454592,0,0,0.000643,0,9299.765625,0.456491,4.564909
2, H1.gg1, 18-Nov-1991,52.347347,2.507967,0.339473,46.989021,2.574241,0,0,0.002572,0,9358.786133,0.38025,3.802495
2, H1.gg1, 19-Nov-1991,52.357868,2.948575,0.349991,48.651093,3.002796,0,0,0.005328,0,9689.820312,0.309226,3.092262
2, H1.gg1, 20-Nov-1991,52.359566,2.892704,0.351689,48.919945,2.948349,0,0,0.001733,0,9743.367188,0.305505,3.055052
2, H1.gg1, 21-Nov-1991,52.354843,2.740916,0.346969,48.172802,2.800984,0,0,0.001549,0,9594.557617,0.334027,3.34027
2, H1.gg1, 22-Nov-1991,52.441532,8.029467,0.43366,62.106514,8.085105,0,0,0.001389,0,12369.73145,0.239878,2.39878
2, H1.gg1, 23-Nov-1991,52.36565,3.249559,0.357774,49.885406,3.316468,0,0,0.001251,0,9935.658203,0.358037,3.580365
2, H1.gg1, 24-Nov-1991,52.378345,3.767076,0.370469,51.906727,3.842057,0,0,0.001133,0,10338.24316,0.384919,3.849195
2, H1.gg1, 25-Nov-1991,52.401352,5.115211,0.393473,55.593834,5.186728,0,0,0.00103,0,11072.60254,0.342672,3.426723
2, H1.gg1, 26-Nov-1991,52.410427,5.594109,0.402548,57.056629,5.66098,0,0,0.00094,0,11363.94727,0.31214,3.121396
2, H1.gg1, 27-Nov-1991,52.414482,5.76728,0.406603,57.711903,5.836256,0,0,0.000863,0,11494.45801,0.31806,3.180596
2, H1.gg1, 28-Nov-1991,52.408066,5.445284,0.400191,56.676228,5.507813,0,0,0.000989,0,11288.18359,0.294084,2.940843
2, H1.gg1, 29-Nov-1991,52.407982,5.449402,0.400107,56.662666,5.503201,0,0,0.000772,0,11285.48242,0.252905,2.529053
2, H1.gg1, 30-Nov-1991,52.407452,5.393329,0.399576,56.577076,5.443847,0,0,0.000714,0,11268.43457,0.237816,2.378163
2, H1.gg1, 01-Dec-1991,52.404583,5.209824,0.396708,56.114792,5.258634,0,0,0.000663,0,11176.36231,0.231598,2.315983
2, H1.gg1, 02-Dec-1991,52.400349,4.940584,0.392472,55.432728,4.992892,0,0,0.000616,0,11040.51563,0.251027,2.510268
2, H1.gg1, 03-Dec-1991,52.392532,4.484866,0.384654,54.176586,4.538117,0,0,0.000574,0,10790.3291,0.261349,2.613487
2, H1.gg1, 04-Dec-1991,52.386581,4.184791,0.378703,53.222843,4.242009,0,0,0.000535,0,10600.37402,0.285652,2.856519
2, H1.gg1, 05-Dec-1991,52.38092,3.838996,0.373045,52.318027,3.903384,0,0,0.0005,0,10420.16211,0.32675,3.267502
2, H1.gg1, 06-Dec-1991,52.373672,3.520182,0.365799,51.1619,3.57536,0,0,0.000468,0,10189.89648,0.286439,2.864392
2, H1.gg1, 07-Dec-1991,52.37207,3.462306,0.364192,50.90601,3.51487,0,0,0.000439,0,10138.93066,0.274226,2.742258
2, H1.gg1, 08-Dec-1991,52.377327,3.728405,0.369452,51.744434,3.762145,0,0,0.003198,0,10305.91895,0.18062,1.806202
2, H1.gg1, 09-Dec-1991,52.373104,3.553914,0.365229,51.071171,3.59433,0,0,0.000892,0,10171.8252,0.211598,2.115976
2, H1.gg1, 10-Dec-1991,52.368519,3.282469,0.360643,50.341244,3.330979,0,0,0.000816,0,10026.44629,0.256995,2.569948
2, H1.gg1, 11-Dec-1991,52.359921,2.907736,0.352043,48.976048,2.96026,0,0,0.000749,0,9754.541016,0.285647,2.856471
2, H1.gg1, 12-Dec-1991,52.352722,2.667596,0.344846,47.837212,2.719063,0,0,0.000693,0,9527.719727,0.286451,2.864505
2, H1.gg1, 13-Dec-1991,52.345581,2.765139,0.337703,46.710064,2.8166,0,0,0.000642,0,9303.226562,0.293181,2.931813
2, H1.gg1, 14-Dec-1991,52.333027,2.018053,0.325151,44.737606,2.074998,0,0,0.000597,0,8910.371094,0.338402,3.384024
2, H1.gg1, 15-Dec-1991,52.356339,2.872802,0.348464,48.409283,2.928574,0,0,0.000556,0,9641.658203,0.30621,3.062102
2, H1.gg1, 16-Dec-1991,52.3475,2.393758,0.339624,47.012848,2.456584,0,0,0.000519,0,9363.530273,0.354886,3.548861
2, H1.gg1, 17-Dec-1991,52.34742,2.448962,0.339542,46.999889,2.51072,0,0,0.000485,0,9360.949219,0.348874,3.488745
2, H1.gg1, 18-Dec-1991,52.346893,2.371679,0.339017,46.917236,2.435659,0,0,0.000454,0,9344.488281,0.361928,3.61928
2, H1.gg1, 19-Dec-1991,52.340065,2.124684,0.332191,45.842655,2.185129,0,0,0.00082,0,9130.463867,0.35107,3.5107
2, H1.gg1, 20-Dec-1991,52.333961,2.052319,0.326086,44.884163,2.084757,0,0,0.002613,0,8939.5625,0.198828,1.988278
2, H1.gg1, 21-Dec-1991,52.330807,1.93844,0.322931,44.389782,1.972828,0,0,0.000832,0,8841.09668,0.207363,2.073628
2, H1.gg1, 22-Dec-1991,52.319813,1.628017,0.311937,42.672394,1.67072,0,0,0.000764,0,8499.043945,0.267028,2.670284
2, H1.gg1, 23-Dec-1991,52.312332,1.470878,0.304456,41.508587,1.520816,0,0,0.000703,0,8267.25,0.320409,3.204092
2, H1.gg1, 24-Dec-1991,52.308636,1.343719,0.300762,40.935356,1.40211,0,0,0.000649,0,8153.078613,0.379333,3.79333
2, H1.gg1, 25-Dec-1991,52.294289,1.088114,0.286412,38.71806,1.148157,0,0,0.000603,0,7711.461426,0.412187,4.121874
2, H1.gg1, 26-Dec-1991,52.301517,1.123181,0.293641,39.833183,1.180701,0,0,0.000561,0,7933.55957,0.383757,3.837566
2, H1.gg1, 27-Dec-1991,52.315956,1.417854,0.30808,42.071838,1.47115,0,0,0.000522,0,8379.431641,0.336667,3.366666
2, H1.gg1, 28-Dec-1991,52.291828,1.050979,0.283953,38.339584,1.113892,0,0,0.000488,0,7636.080566,0.435665,4.356654
2, H1.gg1, 29-Dec-1991,52.450562,9.60376,0.442685,63.580975,9.614286,0,0,0.028255,0,12663.39844,0.10255,1.025496
2, H1.gg1, 30-Dec-1991,53.302128,215.894287,1.294252,90.09407,215.905807,0,0,0.052037,0,17944.00195,0.110205,1.102053
2, H1.gg1, 31-Dec-1991,53.614357,290.785675,1.606479,92.978439,290.790771,0,0,0.027089,0,18518.48242,0.053,0.530001
2, H1.gg1, 01-Jan-1992,53.716194,335.794556,1.708317,93.86821,335.804443,0,0,0.012781,0,18695.69531,0.045843,0.458431
2, H1.gg1, 02-Jan-1992,53.845009,404.890045,1.837133,95.098869,404.907776,0,0,0.009932,0,18940.80469,0.063093,0.630934
2, H1.gg1, 03-Jan-1992,54.137741,580.723267,2.129864,97.651756,580.730591,0,0,0.007991,0,19449.26367,0.030687,0.306866
2, H1.gg1, 04-Jan-1992,54.103886,550.327759,2.096011,97.371834,550.334961,0,0,0.006596,0,19393.51172,0.028435,0.284349
2, H1.gg1, 05-Jan-1992,54.181011,601.287537,2.173136,98.004303,601.294189,0,0,0.005557,0,19519.47852,0.025431,0.25431
2, H1.gg1, 06-Jan-1992,54.236713,637.233826,2.228837,98.449715,637.223633,0,0,0.037649,0,19608.19141,0.023108,0.231082
2, H1.gg1, 07-Jan-1992,54.226467,632.751831,2.218591,98.368477,632.747192,0,0,0.030678,0,19592.01172,0.028843,0.288428
2, H1.gg1, 08-Jan-1992,54.269272,652.99762,2.261395,98.953392,652.976929,0,0,0.055442,0,19708.50977,0.018797,0.187972
2, H1.gg1, 09-Jan-1992,54.231331,623.272278,2.223454,98.407066,623.264282,0,0,0.023773,0,19599.69727,0.010386,0.103861
2, H1.gg1, 10-Jan-1992,54.112194,541.214844,2.104321,97.440895,541.2146,0,0,0.013748,0,19407.26563,0.017931,0.17931
2, H1.gg1, 11-Jan-1992,53.933937,418.771454,1.926065,95.907761,418.771332,0,0,0.010604,0,19101.91211,0.014318,0.143179
2, H1.gg1, 12-Jan-1992,53.598289,271.785889,1.59041,92.842247,271.786804,0,0,0.008553,0,18491.35547,0.014841,0.148413
2, H1.gg1, 13-Jan-1992,53.337193,180.136703,1.329316,90.445946,180.137573,0,0,0.007143,0,18014.08398,0.013046,0.130462
2, H1.gg1, 14-Jan-1992,53.247437,150.569244,1.239563,89.528664,150.570404,0,0,0.006107,0,17831.38867,0.012426,0.124256
2, H1.gg1, 15-Jan-1992,53.201912,142.905014,1.194038,89.041496,142.906357,0,0,0.00532,0,17734.36133,0.011886,0.118855
2, H1.gg1, 16-Jan-1992,53.158829,129.646057,1.150953,88.565613,129.647858,0,0,0.0047,0,17639.57813,0.012402,0.124018
2, H1.gg1, 17-Jan-1992,53.148365,128.99176,1.140491,88.447762,128.993805,0,0,0.004195,0,17616.10742,0.012355,0.123547
2, H1.gg1, 18-Jan-1992,53.214447,151.012192,1.206571,89.17717,151.015289,0,0,0.003775,0,17761.38281,0.01483,0.148297
2, H1.gg1, 19-Jan-1992,53.239658,157.216125,1.231786,89.446533,157.218246,0,0,0.003428,0,17815.03125,0.01134,0.113403
2, H1.gg1, 20-Jan-1992,53.280327,165.179749,1.272449,89.871147,165.182159,0,0,0.003131,0,17899.60352,0.011689,0.116889
2, H1.gg1, 21-Jan-1992,53.274296,165.342941,1.266418,89.808907,165.345398,0,0,0.002868,0,17887.20703,0.011423,0.114232
2, H1.gg1, 22-Jan-1992,53.260849,163.42244,1.252971,89.669228,163.424423,0,0,0.00264,0,17859.38672,0.009769,0.097689
2, H1.gg1, 23-Jan-1992,53.302303,172.302856,1.294426,90.09584,172.30513,0,0,0.002445,0,17944.35547,0.010231,0.10231
2, H1.gg1, 24-Jan-1992,53.275089,164.808472,1.267216,89.817162,164.81044,0,0,0.00227,0,17888.85156,0.009134,0.091342
2, H1.gg1, 25-Jan-1992,53.312885,180.415756,1.305009,90.202873,180.418137,0,0,0.002118,0,17965.67383,0.01009,0.100897
2, H1.gg1, 26-Jan-1992,53.340622,184.720215,1.332744,90.479919,184.723022,0,0,0.001972,0,18020.85156,0.011068,0.110684
2, H1.gg1, 27-Jan-1992,53.28471,168.073456,1.276831,89.916214,168.075989,0,0,0.001837,0,17908.57813,0.01014,0.101402
2, H1.gg1, 28-Jan-1992,53.222576,141.686249,1.214697,89.264503,141.688232,0,0,0.001715,0,17778.7793,0.008406,0.084064
2, H1.gg1, 29-Jan-1992,53.138535,124.345726,1.130658,88.336151,124.345612,0,0,0.00588,0,17593.87695,0.008485,0.084846
2, H1.gg1, 30-Jan-1992,53.045944,103.210327,1.038071,87.637444,103.220253,0,0,0.002393,0,17454.7168,0.03359,0.335904
2, H1.gg1, 31-Jan-1992,53.01199,95.974297,1.004113,87.386375,95.986221,0,0,0.002198,0,17404.71289,0.039408,0.394075
2, H1.gg1, 01-Feb-1992,52.965729,86.421928,0.957849,87.03154,86.434029,0,0,0.002021,0,17334.03711,0.039858,0.398583
2, H1.gg1, 02-Feb-1992,52.941387,81.817886,0.933511,86.838531,81.827911,0,0,0.004416,0,17295.59766,0.037253,0.37253
2, H1.gg1, 03-Feb-1992,52.911732,75.993088,0.903853,86.597023,76.004608,0,0,0.002291,0,17247.49609,0.0387,0.387002
2, H1.gg1, 04-Feb-1992,52.877781,69.92115,0.869905,86.311531,69.933426,0,0,0.002111,0,17190.63477,0.040832,0.408318
2, H1.gg1, 05-Feb-1992,52.849033,64.788216,0.841159,86.061699,64.801308,0,0,0.001949,0,17140.87695,0.043237,0.432371
2, H1.gg1, 06-Feb-1992,52.850822,64.031113,0.842948,86.077477,64.044411,0,0,0.001803,0,17144.01758,0.043636,0.436357
2, H1.gg1, 07-Feb-1992,52.794437,56.179806,0.786557,85.564903,56.189968,0,0,0.004064,0,17041.92969,0.037685,0.376848
2, H1.gg1, 08-Feb-1992,52.77174,52.974869,0.76386,85.349052,52.984783,0,0,0.004245,0,16998.93945,0.037296,0.372964
2, H1.gg1, 09-Feb-1992,52.754829,50.266827,0.746953,85.184425,50.278755,0,0,0.002561,0,16966.15039,0.041012,0.410117
2, H1.gg1, 10-Feb-1992,52.741302,48.390167,0.733423,85.050224,48.402779,0,0,0.002211,0,16939.41992,0.042656,0.426563
2, H1.gg1, 11-Feb-1992,52.768383,52.983406,0.760511,85.316711,52.982662,0,0,0.027204,0,16992.49805,0.039851,0.398509
2, H1.gg1, 12-Feb-1992,53.771641,360.334686,1.763765,94.406967,360.279663,0,0,0.142848,0,18802.99805,0.045908,0.459077
2, H1.gg1, 13-Feb-1992,53.876804,416.080841,1.868928,95.391685,416.003998,0,0,0.186828,0,18999.125,0.045952,0.459518
2, H1.gg1, 14-Feb-1992,53.922642,440.110626,1.914766,95.806717,440.062927,0,0,0.120033,0,19081.78711,0.033875,0.338754
2, H1.gg1, 15-Feb-1992,54.045101,518.205261,2.037225,96.876801,518.178467,0,0,0.092827,0,19294.91406,0.053526,0.535258
2, H1.gg1, 16-Feb-1992,56.352947,3314.31543,4.345072,125.32412,3314.131592,0,0,0.402496,0,24960.75781,0.036543,0.365434
2, H1.gg1, 17-Feb-1992,56.161968,2918.14502,4.154091,122.830338,2918.102295,0,0,0.106043,0,24464.07227,0.021944,0.219437
2, H1.gg1, 18-Feb-1992,56.057453,2710.7229,4.049578,121.438751,2710.718994,0,0,0.023416,0,24186.91211,0.016831,0.16831
2, H1.gg1, 19-Feb-1992,55.863911,2382.361572,3.856031,119.071739,2382.365234,0,0,0.022084,0,23715.47266,0.032457,0.32457
2, H1.gg1, 20-Feb-1992,55.271687,1454.652344,3.263811,113.196518,1454.65564,0,0,0.021228,0,22545.30664,0.032296,0.322964
2, H1.gg1, 21-Feb-1992,54.901901,1108.354492,2.894022,109.644753,1108.358398,0,0,0.018013,0,21837.9043,0.031212,0.312117
2, H1.gg1, 22-Feb-1992,54.808598,1043.60498,2.800719,108.696281,1043.611572,0,0,0.012302,0,21648.99805,0.031021,0.310214
2, H1.gg1, 23-Feb-1992,54.802601,1040.487793,2.794729,108.601234,1040.495728,0,0,0.009881,0,21630.06641,0.031572,0.315715
2, H1.gg1, 24-Feb-1992,54.737541,987.787048,2.729663,107.48304,987.79541,0,0,0.008376,0,21407.35547,0.030943,0.309431
2, H1.gg1, 25-Feb-1992,54.734711,987.089783,2.726836,107.43412,987.09906,0,0,0.007279,0,21397.61328,0.031822,0.318216
2, H1.gg1, 26-Feb-1992,54.732853,985.128418,2.724979,107.401978,985.138245,0,0,0.006405,0,21391.20898,0.032056,0.320561
2, H1.gg1, 27-Feb-1992,54.719913,972.687988,2.712039,107.177605,972.697205,0,0,0.005698,0,21346.52344,0.029888,0.298882
2, H1.gg1, 28-Feb-1992,54.709042,963.990662,2.701167,106.988609,964.001526,0,0,0.005118,0,21308.87891,0.032953,0.329532
2, H1.gg1, 29-Feb-1992,54.693855,950.867126,2.685979,106.723885,950.87793,0,0,0.004623,0,21256.15625,0.03241,0.3241
2, H1.gg1, 01-Mar-1992,54.67355,931.845276,2.665674,106.368668,931.855591,0,0,0.004212,0,21185.4082,0.03103,0.310298
2, H1.gg1, 02-Mar-1992,54.639263,902.376404,2.631386,105.765373,902.385376,0,0,0.006017,0,21065.25,0.030166,0.301664
2, H1.gg1, 03-Mar-1992,54.597961,877.866577,2.590083,105.032776,877.874512,0,0,0.006764,0,20919.33789,0.02839,0.283903
2, H1.gg1, 04-Mar-1992,54.570591,850.515808,2.562717,104.543755,850.524597,0,0,0.005786,0,20821.93945,0.029442,0.294425
2, H1.gg1, 05-Mar-1992,54.449356,759.746338,2.441479,102.34127,759.755554,0,0,0.00442,0,20383.27344,0.029534,0.295337
2, H1.gg1, 06-Mar-1992,54.399761,735.696289,2.391883,101.422615,735.704163,0,0,0.005863,0,20200.30469,0.02817,0.281702
2, H1.gg1, 07-Mar-1992,54.226593,604.196289,2.218719,98.369484,604.178528,0,0,0.032137,0,19592.21289,-0.004515,-0.045147
2, H1.gg1, 08-Mar-1992,53.867188,404.544952,1.859314,95.303574,404.545654,0,0,0.017086,0,18981.57617,0.025618,0.256182
2, H1.gg1, 09-Mar-1992,53.835243,386.118561,1.827369,95.008102,386.120361,0,0,0.010965,0,18922.72852,0.020316,0.20316
2, H1.gg1, 10-Mar-1992,53.759613,346.463806,1.751734,94.29126,346.466339,0,0,0.008738,0,18779.95508,0.019356,0.193555
2, H1.gg1, 11-Mar-1992,53.88063,410.86676,1.872752,95.42662,410.872986,0,0,0.007556,0,19006.08398,0.027796,0.277961
2, H1.gg1, 12-Mar-1992,53.847637,393.616913,1.839762,95.123238,393.623535,0,0,0.006651,0,18945.6582,0.027602,0.276015
2, H1.gg1, 13-Mar-1992,53.653782,301.250275,1.645904,93.307739,301.256897,0,0,0.005931,0,18584.06641,0.027112,0.271119
2, H1.gg1, 14-Mar-1992,53.64616,298.446777,1.638282,93.244598,298.454407,0,0,0.005341,0,18571.49219,0.029179,0.291788
2, H1.gg1, 15-Mar-1992,53.646103,298.622925,1.638228,93.244156,298.629761,0,0,0.006566,0,18571.40234,0.02872,0.287195
2, H1.gg1, 16-Mar-1992,53.638195,295.085205,1.630316,93.178368,295.091217,0,0,0.006999,0,18558.29883,0.026925,0.269247
2, H1.gg1, 17-Mar-1992,53.63549,297.077545,1.627617,93.155846,297.084503,0,0,0.006518,0,18553.8125,0.029049,0.290488
2, H1.gg1, 18-Mar-1992,53.740627,349.569183,1.732746,94.107323,349.576935,0,0,0.005194,0,18743.31836,0.029102,0.291021
2, H1.gg1, 19-Mar-1992,53.716404,337.143341,1.708525,93.870255,337.151764,0,0,0.004605,0,18696.10352,0.03028,0.302798
2, H1.gg1, 20-Mar-1992,53.888653,418.356293,1.880774,95.499725,418.365295,0,0,0.004227,0,19020.64648,0.030883,0.308835
2, H1.gg1, 21-Mar-1992,53.809315,384.382507,1.801438,94.765137,384.392181,0,0,0.004099,0,18874.33594,0.032783,0.327832
2, H1.gg1, 22-Mar-1992,53.953205,459.253021,1.945329,96.078926,459.25824,0,0,0.009969,0,19136.00391,0.028048,0.280481
2, H1.gg1, 23-Mar-1992,53.977673,469.175018,1.9698,96.294373,469.181,0,0,0.00781,0,19178.91211,0.027229,0.272291
2, H1.gg1, 24-Mar-1992,53.946068,438.845978,1.93819,96.015663,438.850311,0,0,0.009825,0,19123.40234,0.025416,0.254158
2, H1.gg1, 25-Mar-1992,53.705677,319.681915,1.697798,93.764389,319.68988,0,0,0.00585,0,18675.01953,0.030652,0.306516
2, H1.gg1, 26-Mar-1992,53.62011,287.193909,1.612232,93.026924,287.202698,0,0,0.005227,0,18528.13672,0.032532,0.325322
2, H1.gg1, 27-Mar-1992,53.534985,252.702911,1.527111,92.294022,252.717224,0,0,0.004703,0,18382.16602,0.047683,0.476831
2, H1.gg1, 28-Mar-1992,53.532375,250.981003,1.524501,92.271019,250.995117,0,0,0.004257,0,18377.58398,0.046517,0.465174
2, H1.gg1, 29-Mar-1992,53.514511,239.044418,1.506634,92.112534,239.06041,0,0,0.003876,0,18346.01758,0.05147,0.514702
2, H1.gg1, 30-Mar-1992,53.446545,221.4505,1.438667,91.494583,221.467255,0,0,0.003543,0,18222.94141,0.053544,0.535443
2, H1.gg1, 31-Mar-1992,53.454681,223.928848,1.446806,91.569885,223.944611,0,0,0.003248,0,18237.9375,0.05016,0.501601
2, H1.gg1, 01-Apr-1992,53.473923,230.132248,1.466046,91.746445,230.148056,0,0,0.0042,0,18273.10547,0.05162,0.516197
2, H1.gg1, 02-Apr-1992,53.487122,235.84314,1.479241,91.866402,235.865036,0,0,0.003062,0,18296.99609,0.067469,0.674689
2, H1.gg1, 03-Apr-1992,53.503922,239.592819,1.496046,92.017845,239.616852,0,0,0.002798,0,18327.16016,0.073108,0.731079
2, H1.gg1, 04-Apr-1992,53.435764,213.961472,1.427883,91.394264,213.988495,0,0,0.002569,0,18202.96094,0.081929,0.819287
2, H1.gg1, 05-Apr-1992,53.352249,188.101456,1.344371,90.594597,188.130219,0,0,0.002364,0,18043.69141,0.087394,0.873945
2, H1.gg1, 06-Apr-1992,53.320408,177.88382,1.312533,90.278534,177.91185,0,0,0.002185,0,17980.74023,0.085312,0.853115
2, H1.gg1, 07-Apr-1992,53.281281,165.955627,1.273401,89.880959,165.986542,0,0,0.002037,0,17901.55664,0.094005,0.94005
2, H1.gg1, 08-Apr-1992,53.260342,159.903442,1.252463,89.663933,159.931564,0,0,0.001905,0,17858.33203,0.085786,0.85786
2, H1.gg1, 09-Apr-1992,53.251431,157.112473,1.243551,89.570602,157.128311,0,0,0.001774,0,17839.74414,0.049369,0.493693
2, H1.gg1, 10-Apr-1992,53.234554,152.169785,1.226673,89.392303,152.184906,0,0,0.001655,0,17804.23047,0.04719,0.471902
2, H1.gg1, 11-Apr-1992,53.227364,150.047852,1.219486,89.315742,150.064331,0,0,0.001548,0,17788.98242,0.051108,0.511079
2, H1.gg1, 12-Apr-1992,53.203506,142.96669,1.195634,89.058838,142.983704,0,0,0.001444,0,17737.81641,0.052703,0.527028
